Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 10/23  23:00:00,931.553298179,97.4382281163,514.678868402,0.0,46.0930336215,124.558693486,250.993169904,228.156502022,14.1616749024,8.67499298
 10/23  24:00:00,916.445723328,97.427619199,513.654876685,0.0,46.0930336215,113.312780494,269.478310721,255.138140799,5.66466996096,8.67549996088
 10/24  01:00:00,913.785193666,97.4171786338,512.412614451,0.0,46.0930336215,113.312780494,298.199145691,283.860229739,5.66466996096,8.67424599153
 10/24  02:00:00,911.346529674,97.4147113599,511.29676095,0.0,46.0930336215,113.312780494,334.928611741,320.589145811,5.66466996096,8.67479596878
 10/24  03:00:00,916.962951936,97.4147113599,515.774289882,0.0,46.0930336215,113.312780494,366.423632948,352.083635521,5.66466996096,8.67532746631
 10/24  04:00:00,1022.41694323,97.4147113599,525.95046479,0.0,100.150657288,148.969399434,358.581202143,344.242504573,5.66466996096,8.67402760889
 10/24  05:00:00,1025.73519194,100.72671679,524.845087871,0.0,100.150657288,149.894399434,480.850902212,458.013408688,14.1616749024,8.67581862155
 10/24  06:00:00,1254.89371937,106.521194672,521.23812714,0.0,176.471037341,302.612436532,380.922279921,343.923771085,28.3233498048,8.67515903088
 10/24  07:00:00,1363.36385418,110.664178355,515.447636758,0.0,243.2593065,310.10971186,379.951480612,320.029422137,42.4850247072,17.4370337674
 10/24  08:00:00,1399.78496534,112.699251525,512.521222691,0.0,243.2593065,310.10971186,343.358699007,269.219155407,56.6466996096,17.4928439905
 10/24  09:00:00,1441.73681401,114.715060379,515.12602068,0.0,243.2593065,302.612436532,275.869190341,207.089736162,42.4850247072,26.2944294719
 10/24  10:00:00,1456.33239296,118.095627217,517.214424177,0.0,243.2593065,310.10971186,273.957176351,176.75776401,70.808374512,26.3910378294
 10/24  11:00:00,1471.00090049,123.685896818,522.373754825,0.0,243.2593065,310.10971186,238.625859012,141.393450109,70.808374512,26.4240343905
 10/24  12:00:00,1435.69919588,128.466536499,523.42365393,0.0,243.2593065,310.10971186,220.303243039,123.164107428,70.808374512,26.330761099
 10/24  13:00:00,1470.58658916,130.820550684,522.601995486,0.0,243.2593065,302.612436532,202.180850457,119.11057673,56.6466996096,26.4235741173
 10/24  14:00:00,1471.70763255,132.921484688,521.603358808,0.0,243.2593065,302.612436532,184.813439018,115.938072732,42.4850247072,26.3903415791
 10/24  15:00:00,1472.64789877,134.987355313,520.524845561,0.0,243.2593065,302.612436532,186.146353971,111.921870405,56.6466996096,17.5777839571
 10/24  16:00:00,1481.24833355,137.525193769,519.978222891,0.0,243.2593065,310.10971186,214.103297639,102.866792594,84.9700494144,26.2664556309
 10/24  17:00:00,1482.22700262,138.430354782,520.071611314,0.0,243.2593065,310.10971186,194.845067146,101.166884353,84.9700494144,8.70813337941
 10/24  18:00:00,1165.94394704,97.4856077554,511.105752349,0.0,166.938926447,199.110933808,242.969090496,140.637289647,84.9700494144,17.3617514345
 10/24  19:00:00,1163.77520387,97.4962042446,510.894494729,0.0,166.938926447,191.61365848,241.488189069,176.15168803,56.6466996096,8.68980142887
 10/24  20:00:00,1029.67901132,97.4778475311,511.235520944,0.0,100.150657288,124.558693486,316.548479395,251.212150968,56.6466996096,8.68962881784
 10/24  21:00:00,1000.16497807,97.4715447121,519.762036205,0.0,100.150657288,124.558693486,323.88176189,272.719557794,42.4850247072,8.67717938887
 10/24  22:00:00,939.489724343,97.4561803959,525.574635109,0.0,46.0930336215,124.558693486,337.838148984,300.840648447,28.3233498048,8.67415073232
 10/24  23:00:00,949.711243426,97.4447579721,534.074071035,0.0,46.0930336215,124.558693486,342.92481008,320.088492385,14.1616749024,8.67464279274
 10/24  24:00:00,945.676802016,97.4340948207,541.155216506,0.0,46.0930336215,113.312780494,347.6532798,333.313307841,5.66466996096,8.67530199721
 10/25  01:00:00,947.735586764,97.4237604834,543.239143374,0.0,46.0930336215,113.312780494,365.906212594,342.911328201,5.66466996096,17.3302144325
 10/25  02:00:00,947.252681873,97.4153457353,542.742861817,0.0,46.0930336215,113.312780494,366.39257625,352.052884244,5.66466996096,8.67502204562
 10/25  03:00:00,948.292725546,97.4147113599,543.724520408,0.0,46.0930336215,113.312780494,375.969955884,361.629720327,5.66466996096,8.67556559599
 10/25  04:00:00,1037.12439275,97.4147113599,541.998971525,0.0,100.150657288,148.969399434,360.812205772,346.473267241,5.66466996096,8.67426857021
 10/25  05:00:00,1031.37969125,102.828910422,530.14225384,0.0,100.150657288,149.894399434,465.696646997,442.86019687,14.1616749024,8.67477522417
 10/25  06:00:00,1255.77240989,108.775412812,520.845985597,0.0,176.471037341,302.612436532,368.007420824,331.008765796,28.3233498048,8.67530522239
 10/25  07:00:00,1362.51217147,113.665711483,512.142506096,0.0,243.2593065,310.10971186,361.859514379,301.93795837,42.4850247072,17.4365313017
 10/25  08:00:00,1402.44449158,115.749975506,511.608396436,0.0,243.2593065,310.10971186,326.666450552,252.525609824,56.6466996096,17.4941411182
 10/25  09:00:00,1440.62808521,117.283839317,512.638078661,0.0,243.2593065,302.612436532,272.358187481,212.339042032,42.4850247072,17.5341207416
 10/25  10:00:00,1454.88811936,120.078707664,514.914835893,0.0,243.2593065,310.10971186,280.205793587,183.004302368,70.808374512,26.3931167065
 10/25  11:00:00,1465.60380283,124.914926446,517.78814198,0.0,243.2593065,310.10971186,251.673448489,154.439591888,70.808374512,26.4254820896
 10/25  12:00:00,1434.09733573,129.401162181,521.390804767,0.0,243.2593065,310.10971186,235.321971969,138.175724603,70.808374512,26.337872854
 10/25  13:00:00,1473.96726253,135.028786093,521.779535525,0.0,243.2593065,302.612436532,199.170271727,116.098141641,56.6466996096,26.425430476
 10/25  14:00:00,1480.93547402,143.004300979,520.745333915,0.0,243.2593065,302.612436532,155.12044714,86.2430962638,42.4850247072,26.392326169
 10/25  15:00:00,1488.67085546,151.620301389,519.913921773,0.0,243.2593065,302.612436532,144.437522382,61.4317861545,56.6466996096,26.3590366181
 10/25  16:00:00,1499.39399297,156.970842813,518.690997646,0.0,243.2593065,310.10971186,154.5875402,52.0969675406,84.9700494144,17.520523245
 10/25  17:00:00,1503.79907838,161.649755874,518.431665466,0.0,243.2593065,310.10971186,146.131318216,43.7600703598,84.9700494144,17.4011984422
 10/25  18:00:00,1187.27184192,97.5650947302,523.968536938,0.0,166.938926447,199.110933808,176.299109528,82.6373232236,84.9700494144,8.69173688978
 10/25  19:00:00,1174.66847901,97.5511097904,515.585620431,0.0,166.938926447,191.61365848,187.100257854,121.762029054,56.6466996096,8.69152919019
 10/25  20:00:00,1034.33408219,97.521343209,512.623571888,0.0,100.150657288,124.558693486,253.748713311,179.73933755,56.6466996096,17.3626761506
 10/25  21:00:00,993.717267166,97.5113375413,512.297337975,0.0,100.150657288,124.558693486,249.481011592,198.319770845,42.4850247072,8.6762160397
 10/25  22:00:00,923.576744524,97.4934001023,511.466246299,0.0,46.0930336215,124.558693486,281.202340605,244.204046515,28.3233498048,8.67494428491
 10/25  23:00:00,924.703651912,97.4787311564,512.191746207,0.0,46.0930336215,124.558693486,289.611640282,266.774488866,14.1616749024,8.67547651352
